Date,Open,High,Low,Close,Adj Close,Volume,stock_returns,Volatility
2000-01-04,6930.2001953125,6930.2001953125,6662.89990234375,6665.89990234375,6665.89990234375,633449000,0.0,0.0
2000-01-05,6665.89990234375,6665.89990234375,6500.39990234375,6535.89990234375,6535.89990234375,670234000,-0.019502243043627354,0.0
2000-01-06,6535.89990234375,6547.2998046875,6424.39990234375,6447.2001953125,6447.2001953125,785532000,-0.013571154447980849,0.0
2000-01-07,6447.2001953125,6532.39990234375,6438.7998046875,6504.7998046875,6504.7998046875,888306000,0.008934050072910482,0.0
2000-01-10,6504.7998046875,6634.2001953125,6504.7998046875,6607.7001953125,6607.7001953125,735455000,0.015819147969911018,0.0
2000-01-11,6607.7001953125,6638.10009765625,6510.7998046875,6518.89990234375,6518.89990234375,863011000,-0.0134389107168853,0.0
2000-01-12,6518.89990234375,6532.7998046875,6470.2998046875,6532.7998046875,6532.7998046875,779904000,0.0021322466293358655,0.0
2000-01-13,6532.7998046875,6596.5,6509.39990234375,6531.5,6531.5,865831000,-0.00019896594513235666,0.0
2000-01-14,6531.5,6666.7998046875,6531.5,6658.2001953125,6658.2001953125,1098626000,0.019398330446681378,0.0
2000-01-17,6658.2001953125,6694.2998046875,6638.2998046875,6669.5,6669.5,923472000,0.0016971260034288616,0.0
2000-01-18,6669.5,6695.89990234375,6491.5,6504.60009765625,6504.60009765625,854700000,-0.02472447744864681,0.0
2000-01-19,6504.60009765625,6505.89990234375,6434.39990234375,6445.5,6445.5,863686000,-0.009085892563563625,0.0
2000-01-20,6445.39990234375,6492.7001953125,6328.2998046875,6348.7001953125,6348.7001953125,1008169000,-0.015018199470560822,0.0
2000-01-21,6348.7001953125,6374.7001953125,6287.10009765625,6346.2998046875,6346.2998046875,1007934000,-0.0003780916646169974,0.0
2000-01-24,6346.2998046875,6480.39990234375,6346.2998046875,6379.7998046875,6379.7998046875,672107000,0.005278666471958404,0.0
2000-01-25,6379.7998046875,6379.7998046875,6262.89990234375,6274.10009765625,6274.10009765625,805330000,-0.01656787207548238,0.0
2000-01-26,6274.10009765625,6380.0,6270.39990234375,6375.60009765625,6375.60009765625,1021822000,0.016177618848943087,0.0
2000-01-27,6375.60009765625,6451.60009765625,6375.60009765625,6441.0,6441.0,816596000,0.010257842609638024,0.0
2000-01-28,6441.0,6475.10009765625,6354.7998046875,6375.60009765625,6375.60009765625,918227000,-0.010153687679514078,0.0
2000-01-31,6375.60009765625,6375.60009765625,6246.7998046875,6268.5,6268.5,931453000,-0.01679843403221315,0.0
2000-02-01,6268.5,6367.10009765625,6231.89990234375,6290.89990234375,6290.89990234375,1214559000,0.003573407090013525,0.0
2000-02-02,6290.89990234375,6345.2001953125,6241.60009765625,6302.7998046875,6302.7998046875,1336831000,0.0018916057366158423,0.1992724073130606
2000-02-03,6302.7998046875,6393.5,6251.60009765625,6324.2998046875,6324.2998046875,1865400000,0.0034111824373685984,0.19080467717182722
2000-02-04,6324.2998046875,6364.89990234375,6171.2001953125,6185.0,6185.0,2309287000,-0.022026122889407085,0.19918381586630202
2000-02-07,6185.0,6232.10009765625,6100.7001953125,6118.60009765625,6118.60009765625,1230759000,-0.010735634978779274,0.19744169169096124
2000-02-08,6118.60009765625,6295.7001953125,6117.2998046875,6285.7998046875,6285.7998046875,2217462000,0.02732646428311214,0.21365343632908268
2000-02-09,6285.7998046875,6450.89990234375,6271.5,6315.39990234375,6315.39990234375,1840149000,0.004709042377419648,0.21107725681508924
2000-02-10,6315.39990234375,6320.0,6199.7998046875,6279.7998046875,6279.7998046875,2218541000,-0.005637029832907037,0.21114206507438868
